ISO28178
# Data formatted with IT8.7/4 patch set
ORIGINATOR	"Idealliance  E,G,J4,T"
CREATED	"December, 2016"
DESCRIPTOR	XCMYK - Expanded gamut reference characterization for high density offset printing
MEASUREMENT_SOURCE	"MeasurementCondition=M1	Filter=D50"
ILLUMINATION_NAME	D50
OBSERVER_ANGLE	2
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	SampleID
NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SampleID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	1617
BEGIN_DATA
257	10	40	30	0	47.62	40.678	28.822	69.95	24.751	7.342
258	10	55	30	0	41.874	31.589	23.707	63.002	38.118	4.242
259	10	70	30	0	36.584	23.871	18.55	55.959	51.808	2.46
260	10	85	30	0	31.735	17.677	13.27	49.103	64.603	3.487
261	10	100	30	0	26.703	12.928	7.442	42.654	73.093	11.436
262	20	0	30	0	58.474	67.443	41.866	85.727	-15.256	15.878
263	20	10	30	0	53.179	57.881	37.863	80.673	-6.651	12.418
264	20	20	30	0	48.679	49.733	33.998	75.905	1.99	9.637
265	20	30	30	0	44.419	42.294	30.882	71.073	10.849	5.999
266	20	40	30	0	40.612	35.922	27.791	66.46	19.368	3.025
267	20	55	30	0	35.826	27.972	23.266	59.863	32.46	-0.346
268	20	70	30	0	31.44	21.16	18.385	53.124	46.2	-2.066
269	20	85	30	0	27.037	15.345	13.06	46.103	59.581	-1.107
270	20	100	30	0	22.815	11.26	7.728	40.016	67.812	5.755
271	30	0	30	0	49.905	60.19	40.985	81.942	-20.714	10.478
272	30	10	30	0	45.243	51.458	37.146	76.956	-12.136	6.99
273	30	20	30	0	42.077	44.854	33.627	72.796	-3.489	4.819
274	30	30	30	0	38.106	37.844	30.096	67.905	5.264	1.771
275	30	40	30	0	35.184	32.51	27.662	63.762	13.495	-1.412
276	30	55	30	0	30.62	24.905	23.013	56.982	26.549	-4.836
277	30	70	30	0	26.908	18.771	18.349	50.418	40.459	-6.653
278	30	85	30	0	22.759	13.214	12.844	43.083	54.335	-5.714
279	30	100	30	0	19.069	9.461	7.429	36.856	63.481	1.496
280	40	0	30	0	41.566	52.655	39.97	77.671	-26.045	4.433
281	40	10	30	0	37.892	45.271	36.381	73.07	-17.684	1.35
282	40	20	30	0	35.577	39.756	33.333	69.296	-9.032	-0.782
283	40	30	30	0	32.148	33.479	29.787	64.547	-0.474	-3.529
284	40	40	30	0	29.741	28.795	27.322	60.6	7.657	-6.292
285	40	55	30	0	25.896	22.093	22.918	54.126	20.328	-9.58
286	40	70	30	0	22.282	16.1	17.934	47.106	34.822	-11.442
287	40	85	30	0	19.259	11.564	13.015	40.515	48.676	-10.621
288	40	100	30	0	16.093	8.139	7.655	34.271	58.608	-3.864
289	55	0	30	0	31.661	43.298	38.702	71.757	-33.313	-4.085
290	55	10	30	0	28.8	37.302	35.261	67.503	-25.698	-6.67
291	55	20	30	0	26.605	32.303	32.242	63.593	-17.561	-8.983
292	55	30	30	0	24.387	27.664	29.377	59.584	-9.59	-11.43
293	55	40	30	0	22.22	23.351	26.63	55.432	-1.352	-14.025
294	55	55	30	0	19.543	18	22.555	49.497	11.391	-16.87
295	55	70	30	0	17.041	13.276	18.114	43.176	25.525	-18.619
296	55	85	30	0	14.577	9.331	13.351	36.614	39.574	-18.266
297	55	100	30	0	11.976	6.295	7.911	30.144	50.577	-11.978
298	70	0	30	0	22.25	33.842	37.008	64.837	-41.751	-13.714
299	70	10	30	0	20.323	29.321	34.164	61.064	-34.614	-16.192
300	70	20	30	0	18.657	25.38	31.373	57.444	-27.371	-18.26
301	70	30	30	0	17.191	21.817	28.646	53.833	-19.586	-20.159
302	70	40	30	0	15.782	18.558	26.164	50.166	-11.694	-22.299
303	70	55	30	0	13.815	14.255	22.302	44.597	0.44	-24.831
