Library|Pantone_Name|Hex|R|G|B|C|M|Y|K|L|a|b|Hex_Source|RGB_Source|CMYK_Source|Lab_Source
Pantone Formula Guide Uncoated|PANTONE 722 U|#CB926C|203|146|108|0.0|28.1|46.8|20.4|65.49|19.0|29.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 723 U|#B8835F|184|131|95|0.0|28.8|48.4|27.8|59.61|18.0|28.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 724 U|#A57450|165|116|80|0.0|29.7|51.5|35.3|53.33|17.0|28.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 725 U|#956847|149|104|71|0.0|30.2|52.3|41.6|48.24|16.0|26.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 475 U|#FACCAD|250|204|173|0.0|18.4|30.8|2.0|85.49|14.0|22.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 474 U|#F7BE9D|247|190|157|0.0|23.1|36.4|3.1|81.57|18.0|25.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 473 U|#EEAC89|238|172|137|0.0|27.7|42.4|6.7|76.08|22.0|28.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 472 U|#DC9371|220|147|113|0.0|33.2|48.6|13.7|67.84|26.0|30.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 471 U|#C07B54|192|123|84|0.0|35.9|56.3|24.7|58.43|25.0|33.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 470 U|#A46F52|164|111|82|0.0|32.3|50.0|35.7|52.16|19.0|25.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
